id,age,timestamp,trick_or_treat,n_mints,dress,font
ID0311,30,2015-10-23T11:24:39Z,No,NA,NA,NA
ID0312,55,2015-10-23T11:25:53Z,Yes,5,White and gold,ham
ID0313,47,2015-10-23T11:26:03Z,No,24,Blue and black,times new roman
ID0314,41,2015-10-23T11:26:07Z,No,7,Blue and black,hELVETICA oLDE
ID0315,38,2015-10-23T11:26:11Z,No,15,Blue and black,Calibri
ID0316,27,2015-10-23T11:26:11Z,Yes,8,White and gold,Verdana
ID0317,40,2015-10-23T11:27:37Z,No,4,White and gold,8
ID0318,27,2015-10-23T11:29:00Z,No,4,Blue and black,Futura
ID0319,31,2015-10-23T11:29:37Z,No,3,White and gold,museo
ID0320,36,2015-10-23T11:29:50Z,No,78,White and gold,century gothic
ID0321,32,2015-10-23T11:30:52Z,No,7,Blue and black,Tahoma
ID0322,33,2015-10-23T11:30:59Z,No,3,Blue and black,Computer Modern
ID0323,32,2015-10-23T11:31:01Z,No,6,Blue and black,Copperplate
ID0324,36,2015-10-23T11:31:13Z,No,37,White and gold,Goudy Old Style
ID0325,30,2015-10-23T11:31:39Z,No,0,NA,NA
ID0326,27,2015-10-23T11:32:32Z,No,5,White and gold,Comic Sans
ID0327,24,2015-10-23T11:32:59Z,No,5,Blue and black,Comics Sans
ID0328,36,2015-10-23T11:33:22Z,No,7,White and gold,the font of wisdom
ID0329,33,2015-10-23T11:34:07Z,No,5,White and gold,Harry potter
ID0330,48,2015-10-23T11:34:16Z,No,7,White and gold,ScoobyDoo
ID0331,40,2015-10-23T11:34:17Z,No,5,White and gold,Johnston
ID0333,58,2015-10-23T11:35:27Z,No,3,Blue and black,georgia
ID0334,41,2015-10-23T11:36:03Z,No,2,Blue and black,Arial
ID0335,51,2015-10-23T11:36:11Z,No,3,Blue and black,Times new roman
ID0336,34,2015-10-23T11:36:16Z,No,6,Blue and black,Helvetica
ID0337,32,2015-10-23T11:36:29Z,No,12,Blue and black,Garamond
ID0338,41,2015-10-23T11:37:16Z,No,5,Blue and black,Input (http://input.fontbureau.com/)
ID0340,48,2015-10-23T11:37:24Z,No,42,White and gold,"currently, Ostrich"
ID0341,48,2015-10-23T11:39:04Z,No,38,Blue and black,Marsneveneksk
ID0342,32,2015-10-23T11:39:18Z,Yes,8,White and gold,calibri
ID0343,44,2015-10-23T11:40:10Z,No,5,Blue and black,Pallatino
ID0344,31,2015-10-23T11:42:14Z,No,6,Blue and black,Cambria
ID0345,39,2015-10-23T11:42:33Z,No,4,White and gold,comic sans
ID0346,44,2015-10-23T11:43:10Z,No,6,Blue and black,Triplicate
ID0347,31,2015-10-23T11:43:18Z,No,8,White and gold,Didot
ID0348,41,2015-10-23T11:43:50Z,Yes,7,Blue and black,Garamond
ID0349,32,2015-10-23T11:44:06Z,No,5,White and gold,NA
ID0350,40,2015-10-23T11:44:41Z,No,0,White and gold,Goudy Old Style
ID0352,8,2015-10-23T11:47:10Z,Yes,5,Blue and black,NA
ID0353,44,2015-10-23T11:47:14Z,No,14,Blue and black,Times New Roman
ID0354,34,2015-10-23T11:47:19Z,No,4,Blue and black,san francisco
ID0355,44,2015-10-23T11:47:24Z,No,3,Blue and black,palatino
ID0356,43,2015-10-23T11:47:26Z,Yes,5,Blue and black,Futura
ID0357,39,2015-10-23T11:48:23Z,No,4,NA,NA
ID0358,44,2015-10-23T11:48:24Z,No,2,White and gold,Zapf Dingbats
ID0359,38,2015-10-23T11:48:29Z,Yes,0,Blue and black,Verdana
ID0360,22,2015-10-23T11:48:39Z,No,2,NA,arial bold
ID0361,50,2015-10-23T11:48:43Z,No,5,NA,Comics San
ID0362,40,2015-10-23T11:48:49Z,No,3,Blue and black,wingdings
ID0364,37,2015-10-23T11:51:14Z,No,0,Blue and black,NA
ID0365,30,2015-10-23T11:51:25Z,No,3,Blue and black,computer modern
